code_num,year,tourism_arrivals_log,tourism_expenditures_log,gdp_log,unemployment_log,tourism_expenditures_mean
1,1999,0.6460095200119358,0.6830331306501873,0.3472692829256776,0.6003166781197699,9.768917060264114e-06
2,1999,0.9010296654766372,0.6270497862681506,0.7105565098531457,0.6003166781197699,5.06913872056918e-07
3,1999,0.7744838380912937,0.5639879599024822,0.6641472134124968,0.6003166781197699,1.577047405504073e-06
4,1999,0.361775960452729,0.3418454215929278,0.43907055866350353,0.6003166781197699,5.532529324353489e-05
5,1999,0.5569143832980994,0.4340422784744782,0.39219358215782973,0.8113212327132127,9.970368066107521e-06
6,1999,0.8561266874484281,0.5929675385046025,0.3235665074597023,0.6003166781197699,7.268116448650987e-07
7,1999,0.7470623850809475,0.8304387855094639,0.7153123745495795,0.7409456075138448,5.482778320575535e-06
8,1999,0.35316495184121754,0.5414360124745932,0.3522259252899409,0.6827530557692606,0.00013769676326459807
9,1999,0.35316495184121754,0.5929675385046025,0.6999509589275827,0.6003166781197699,0.00016702486141265756
10,1999,0.5950012868733967,0.5929675385046025,0.2950754551765842,0.6003166781197699,1.2228605924855286e-05
11,1999,0.7869225615367548,0.7076288684013359,0.7382433989186103,0.5614530073089838,2.323943571762682e-06
12,1999,0.9132260762849098,0.5929675385046025,0.6958356587008088,0.4717758577371865,3.9205469273023186e-07
13,1999,0.6016912045887899,0.6272589523744767,0.4177986729817076,0.7787629569452015,1.2901082802252607e-05
14,1999,0.31103307890415344,0.5929675385046025,0.29266737217587147,0.7400231977017595,0.00026338535838149845
15,1999,0.8199017866677583,0.5929675385046025,0.7085777908478832,0.6177307956749744,1.0752110720551044e-06
16,1999,0.6430112315143486,0.6142059545743228,0.4019493003229002,0.6003166781197699,7.869096586810765e-06
17,1999,0.4501630455643102,0.5929675385046025,0.3960714469870543,0.6003166781197699,5.8530079640332994e-05
18,1999,0.4863426227707135,0.46532968538758585,0.5919763208755857,0.6003166781197699,2.4267491723878785e-05
19,1999,0.7985457544269254,0.734319321037397,0.4964158879780638,0.7418649579179495,2.2517044622373813e-06
20,1999,0.7585164288010777,0.6824388795254255,0.4536215884396415,0.6003166781197699,2.888804244995296e-06
21,1999,0.7683528676784621,0.7463215389529061,0.4550950935614664,0.5809518632028038,3.254867097266694e-06
22,1999,0.47127765552126166,0.3234514493683967,0.4194330658359957,0.6003166781197699,1.556808173972966e-05
23,1999,0.5488428614687213,0.6454253704498403,0.3080537699344823,0.7177134281784205,2.4399388551593675e-05
24,1999,0.5931661700004687,0.5929675385046025,0.39467212619038095,0.6003166781197699,1.2473623529907032e-05
25,1999,0.5493854051650551,0.5523239780535338,0.4605278904798109,0.43159757218180095,1.7202457040171695e-05
26,1999,0.7994741668436429,0.5348851639444117,0.7693322940386691,0.6810437971603421,1.0782341097554063e-06
27,1999,0.6435991801568057,0.6907306378638747,0.38609888570862627,0.6690132841415497,1.0305582418955914e-05
28,1999,0.645532450306197,0.5929675385046025,0.4408779332631094,0.6003166781197699,7.0817159440733816e-06
29,1999,0.192266171694909,0.5929675385046025,0.24182955806602013,0.23206113383005383,0.0009511138193513224
30,1999,0.6521756431959256,0.5781378529696151,0.43077367313473447,0.6003166781197699,6.237972529959163e-06
31,1999,0.22265042094578813,0.5929675385046025,0.30799805125331625,0.6003166781197699,0.000684801931791896
