code_num,year,tourism_arrivals,tourism_expenditures,gdp,inflation,unemployment,tourism_expenditures_mean
1,1999,972000.0,9.49538738257672,1722905027.93296,2.28037198258753,8.06144990172818,9.768917060264114e-06
2,1999,15309377.8420342,7.76053600068794,265429291101.256,7.81986477630863,8.06144990172818,5.06913872056918e-07
3,1999,3897975.03054576,6.14729140864185,139468349993.665,0.372266170311928,8.06144990172818,1.577047405504073e-06
4,1999,45000.0,2.48963819595907,6152923310.44546,248.195902412868,8.06144990172818,5.532529324353489e-05
5,1999,371000.0,3.69900655252589,3212121650.97755,0.389437653561617,18.4,9.970368066107521e-06
6,1999,9422000.0,6.84801931791896,1240295198.78331,6.1572186951619665,8.06144990172818,7.268116448650987e-07
7,1999,2898000.0,15.8890915730279,283523000000.0,6.1572186951619665,14.05,5.482778320575535e-06
8,1999,41000.0,5.64556729384852,1845482173.02732,0.648245760470385,11.2,0.00013769676326459807
9,1999,41000.0,6.84801931791896,229130573400.40085,6.1572186951619665,8.06144990172818,0.00016702486141265756
10,1999,560000.0,6.84801931791896,835514814.814815,1.12128789571146,8.06144990172818,1.2228605924855286e-05
11,1999,4459000.0,10.3624643864898,389652212056.649,1.48312940304041,6.876,2.323943571762682e-06
12,1999,17467000.0,6.84801931791896,216421809125.916,0.568993765885568,4.699,3.9205469273023186e-07
13,1999,602000.0,7.76645184695607,4581248566.50158,-8.52517000536064,16.25,1.2901082802252607e-05
14,1999,26000.0,6.84801931791896,808077223.365746,3.38542427340455,14.0,0.00026338535838149845
15,1999,6369000.0,6.84801931791896,258245733221.468,1.12084823417845,8.649,1.0752110720551044e-06
16,1999,941000.0,7.40481988818893,3677393998.74486,0.326722893396852,8.06144990172818,7.869096586810765e-06
17,1999,117000.0,6.84801931791896,3389566712.66037,-1.07261362759534,8.06144990172818,5.8530079640332994e-05
18,1999,173000.0,4.19827606823103,51270569883.5275,6.10669589841958,8.06144990172818,2.4267491723878785e-05
19,1999,5056000.0,11.3846177610722,13627325461.1743,2.57304281890206,14.1,2.2517044622373813e-06
20,1999,3280000.0,9.47527792358457,7528469148.93617,-1.2875879718491,8.06144990172818,2.888804244995296e-06
21,1999,3648000.0,11.8737551708289,7683870000.0,1.2542482602363,7.45,3.254867097266694e-06
22,1999,147000.0,2.28850801574026,4686256363.04707,6.1572186951619665,8.06144990172818,1.556808173972966e-05
23,1999,340000.0,8.29579210754185,1000250000.0,2.62139524582746,12.84,2.4399388551593675e-05
24,1999,549000.0,6.84801931791896,3324433000.0,6.1572186951619665,8.06144990172818,1.2473623529907032e-05
25,1999,342000.0,5.88324030773872,8285064434.56826,2.15951626835598,3.93,1.7202457040171695e-05
26,1999,5107000.0,5.50654159852086,599642024319.531,4.85844749902667,11.125,1.0782341097554063e-06
27,1999,947000.0,9.75938655075125,2951822204.54432,1.56006240249605,10.61,1.0305582418955914e-05
28,1999,967000.0,6.84801931791896,6309070374.83966,-0.415627597672454,8.06144990172818,7.0817159440733816e-06
29,1999,7199.99980926514,6.84801931791896,399311199.50776,6.77699393553632,1.4,0.0009511138193513224
30,1999,1039000.0,6.48125345862757,5484263346.88105,7.74929619202848,8.06144990172818,6.237972529959163e-06
31,1999,10000.0,6.84801931791896,999477510.686632,-1.41420220082551,8.06144990172818,0.000684801931791896
32,1999,7154000.0,7.22500270705198,297873643323.126,0.806444380959449,3.053,1.0099248961492844e-06
33,1999,80000.0,6.84801931791896,4711259427.27273,284.894975914087,8.06144990172818,8.5600241473987e-05
34,1999,725000.0,10.0158366908174,86278947636.962,10.8736870857471,20.06,1.3814947159748138e-05
35,1999,24000.0,6.84801931791896,382454989.945311,6.1572186951619665,8.06144990172818,0.00028533413824662334
36,1999,67000.0,13.4425390437261,592416703.058878,4.35643374510453,8.06144990172818,0.00020063491110038954
37,1999,1267000.0,9.84907289214016,14254866284.6542,10.0452817292494,8.06144990172818,7.773538194270056e-06
38,1999,9901109.40611303,10.9740986460168,16585437189.6651,1.56006240249605,8.06144990172818,1.1083706073625746e-06
39,1999,1603000.0,6.84801931791896,28364615200.0,6.1572186951619665,6.26,4.272002069818441e-06
40,1999,433000.0,6.84801931791896,229130573400.40085,6.1572186951619665,8.06144990172818,1.5815287108357878e-05
41,1999,1431000.0,6.84801931791896,229130573400.40085,6.1572186951619665,8.06144990172818,4.7854782095869746e-06
42,1999,2578000.0,11.5009547225479,10497907227.616,1.62999999999999,5.532,4.461192677481731e-06
43,1999,17116000.0,10.8393479009007,2213873468586.88,0.585433064230783,8.854,6.332874445490009e-07
44,1999,21000.0,4.47485059213192,536080148.097299,6.1572186951619665,8.06144990172818,0.00021308812343485335
45,1999,280000.0,6.84801931791896,331759259.259259,1.17947787394175,15.67,2.445721184971057e-05
46,1999,2932000.0,6.05750759124992,22136579396.9218,6.47054186846928,8.06144990172818,2.0659984963335335e-06
47,1999,749000.0,6.84801931791896,48640671734.9711,2.64551113392799,8.06144990172818,9.142882934471243e-06
48,1999,518000.0,9.14800038968106,19645272636.3182,52.2420051858225,13.96,1.76602324125117e-05
49,1999,4797000.0,5.63463682498855,90710704806.8416,3.07949912638332,7.95,1.1746168073772253e-06
50,1999,57000.0,6.84801931791896,688918537.115555,6.1572186951619665,8.06144990172818,0.00012014068978805194
51,1999,3181000.0,7.22674209137976,5756912265.75809,3.29611089718909,11.573,2.2718459891165546e-06
52,1999,115000.0,3.07530233751224,7892973531.80045,7.94144864137325,3.714,2.6741759456628174e-05
53,1999,12500227.5806909,6.09888010981826,400171061469.108,4.84353158826397,8.06144990172818,4.879015258281537e-07
